address,price,area,furnishing
"2 BHK Independent House for Sale in Rohini Sector 3, New Delhi","50 Lac ","96154 per sqft ",R
"5 BHK Independent House for Sale in Najafgarh, New Delhi","75 Lac ","7576 per sqft ",R
"2 BHK Independent House for Sale in Rohini Sector 16, New Delhi","65 Lac ","7747 per sqft ",S
"3 BHK Independent House for Sale in Rajouri Garden, New Delhi","4.50 Cr ","50000 per sqft ",R
"1 BHK Independent House for Sale in Shiv Vihar, Karawal Nagar, New Delhi","34 Lac ","7556 per sqft ",R
"2 BHK Independent House for Sale in Vikaspuri, New Delhi","27 Lac ","6000 per sqft ",R
"5 BHK Independent House for Sale in Sukhdev Vihar, Okhla, New Delhi","16 Cr ","37665 per sqft ",R
"4 BHK Independent House for Sale in Pitampura, New Delhi","8 Cr ","59259 per sqft ",R
"7 BHK Independent House for Sale in Kartar Nagar, New Delhi","90 Lac ","3571 per sqft ",U
"4 BHK Independent House for Sale in Ghuma, Ahmedabad","1.15 Cr ","3872 per sqft ",N
"1 BHK Independent House for Sale in Virat Nagar, Odhav, Ahmedabad","45 Lac ","5000 per sqft ",S
"1 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","31 Lac ","6889 per sqft ",U
"2 BHK Independent House for Sale in Ahmedabad","20 Lac ","2268 per sqft ",R
"6 BHK Independent House for Sale in Memnagar, Ahmedabad","5.75 Cr ","26620 per sqft ",R
"2 BHK Independent House for Sale in Vastral, Ahmedabad","70 Lac ","23333 per sqft ",S
"5 BHK Independent House for Sale in Hanspura, Naroda, Ahmedabad","1.25 Cr ","5447 per sqft ",F
"5 BHK Independent House for Sale in Kasindra, Ahmedabad","1.35 Cr ","3989 per sqft ",E
"4 BHK Independent House for Sale in New CG Road, Ahmedabad","1.80 Cr ","13245 per sqft ",U
"4 BHK Independent House for Sale in Navrangpura, Ahmedabad","4.90 Cr ","13611 per sqft ",R
"3 BHK Independent House for Sale in Ranip, Ahmedabad","1.15 Cr ","10648 per sqft ",R
"5 BHK Independent House for Sale in Motera, Ahmedabad","2.40 Cr ","11852 per sqft ",F
"2 BHK Independent House for Sale in Ghodasar, Ahmedabad","65 Lac ","10000 per sqft ",U
"4 BHK Independent House for Sale in Sardar Patel Ring Road, Ahmedabad","7.21 Cr ","9104 per sqft ",U
"2 BHK Independent House for Sale in Vejalpur, Jivraj park, Ahmedabad","70 Lac ","58333 per sqft ",S
"4 BHK Independent House for Sale in Dholka, Ahmedabad","40 Lac ","2402 per sqft ",R
"4 BHK Independent House for Sale in Nava Naroda, Ahmedabad","1.75 Cr ","11785 per sqft ",F
"3 BHK Independent House for Sale in Ranip, Ahmedabad","1.85 Cr ","5873 per sqft ",F
"4 BHK Independent House for Sale in Thaltej, Ahmedabad","7.25 Cr ","17901 per sqft ",F
"5 BHK Independent House for Sale in Sterling City, Bopal, Ahmedabad","2.35 Cr ","6144 per sqft ",F
"5 BHK Independent House for Sale in Dariyapur, Ahmedabad","30 Lac ","952 per sqft ",U
"5 BHK Independent House for Sale in Sanathal, Ahmedabad","12 Cr ","16667 per sqft ",F
"4 BHK Independent House for Sale in CTM, Amraiwadi, Ahmedabad","90 Lac ","4000 per sqft ",F
"1 BHK Independent House for Sale in Jay Ambe Nagar, Ahmedabad","20 Lac ","6667 per sqft ",1
"3 BHK Independent House for Sale in Yamuna Vihar, New Delhi","2 Cr ","9524 per sqft ",R
"3 BHK Independent House for Sale in Rabari Colony, Amraiwadi, Ahmedabad","53 Lac ","4417 per sqft ",S
"3 BHK Independent House for Sale in Bopal, Ahmedabad","1.45 Cr ","8709 per sqft ",N
"5 BHK Independent House for Sale in Maninagar West, Ahmedabad","4.90 Cr ","13611 per sqft ",R
"4 BHK Independent House for Sale in Satellite, Ahmedabad","6.75 Cr ","10000 per sqft ",U
